City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
221,puerto lempira,15.2667,-83.7667,87.94,66,20,11.5,HN,1686006491
222,nieuw amsterdam,5.8833,-55.0833,79.14,89,40,0.0,SR,1686006492
223,enewetak,11.3474,162.3373,82.31,79,86,8.55,MH,1686006492
224,northam,51.0333,-4.2167,54.61,78,0,7.16,GB,1686006492
225,san borja,-14.8167,-66.85,75.45,81,24,3.24,BO,1686006492
226,chernyshevskiy,63.0128,112.4714,40.68,59,98,9.17,RU,1686006492
227,tshikapa,-6.4167,20.8,75.92,69,93,4.36,CD,1686006493
228,turpan,42.9333,89.1667,80.78,20,1,4.52,CN,1686006493
229,guerrero negro,27.9769,-114.0611,67.21,59,61,18.07,MX,1686006218
230,nelson,-41.2833,173.2833,50.29,86,4,2.33,NZ,1686006493
231,tura,25.5198,90.2201,77.58,55,0,4.68,IN,1686006494
232,horta,38.5333,-28.6333,64.02,86,100,15.99,PT,1686006431
233,walvis bay,-22.9575,14.5053,53.1,79,0,4.18,NA,1686006494
234,kharan,28.5833,65.4167,81.95,22,0,5.12,PK,1686006494
235,menongue,-14.6585,17.691,59.63,46,50,1.28,AO,1686006494
236,puerto ayora,-0.7393,-90.3518,79.56,93,89,7.0,EC,1686006494
237,telsiai,55.9814,22.2472,46.09,83,72,6.15,LT,1686006495
238,flin flon,54.7682,-101.865,80.37,59,35,3.74,CA,1686006495
239,rawson,-43.3002,-65.1023,66.96,27,89,26.11,AR,1686006495
240,vadso,70.0744,29.7487,38.28,81,75,14.97,NO,1686006495
241,raja,8.4596,25.678,70.74,92,98,3.24,SS,1686006495
242,fakenham,52.83,0.8477,53.64,79,100,4.0,GB,1686006495
243,port alfred,-33.5906,26.891,56.59,69,100,6.33,ZA,1686006496
244,taiyuan,37.8694,112.5603,60.66,77,0,4.47,CN,1686006496
245,porto velho,-8.7619,-63.9039,75.25,88,75,4.61,BR,1686006283
246,suva,-18.1416,178.4415,78.28,83,75,2.3,FJ,1686006220
247,zhalantun,48.0,122.7167,63.0,46,19,9.4,CN,1686006496
248,mikhnevo,55.1272,37.9522,49.28,92,8,5.37,RU,1686006497
249,rongelap,11.1635,166.8941,82.13,78,72,16.49,MH,1686006497
250,leh,34.1667,77.5833,44.53,56,100,2.21,IN,1686006497
251,pyapon,16.2833,95.6833,79.52,86,91,5.1,MM,1686006497
252,belo oriente,-19.22,-42.4836,64.31,67,48,2.01,BR,1686006498
253,mitu,1.1983,-70.1733,74.64,97,49,1.54,CO,1686006498
254,santa cruz,-17.8,-63.1667,77.05,69,2,3.44,BO,1686006498
255,plumas lake,39.0207,-121.558,86.2,44,75,12.66,US,1686006308
256,ranau,5.9538,116.6641,70.93,91,97,1.7,MY,1686006498
257,malango,-2.9627,119.9001,68.67,97,90,1.01,ID,1686006498
258,zhob,31.3411,69.4481,71.37,54,8,1.32,PK,1686006499
259,borodulikha,50.7184,80.9295,68.61,49,20,7.25,KZ,1686006499
260,kolonia,50.9333,6.95,63.95,58,0,3.44,DE,1686006258
261,guatrache,-37.6678,-63.5302,56.62,42,88,16.06,AR,1686006499
262,formosa do rio preto,-11.0483,-45.1931,73.33,45,1,2.93,BR,1686006212
263,meadow lake,34.8014,-106.5436,84.94,27,32,9.75,US,1686006500
264,loa janan,-0.583,117.095,74.01,96,88,1.63,ID,1686006500
265,glucksburg,54.8333,9.55,53.37,94,0,6.91,DE,1686006500
266,muisne,0.6,-80.0333,79.68,83,61,6.64,EC,1686006500
267,harpswell center,43.8018,-69.9842,60.22,84,100,4.0,US,1686006500
268,vorkuta,67.5,64.0,47.19,69,14,14.99,RU,1686006501
269,fale old settlement,-9.3852,-171.2468,83.21,75,11,11.34,TK,1686006501
270,gizo,-8.103,156.8419,83.16,75,80,5.57,SB,1686006501
271,nantucket,41.2835,-70.0995,55.99,81,100,13.8,US,1686006442
272,gandajika,-6.75,23.95,75.51,50,100,3.27,CD,1686006501
273,narwana,29.6167,76.1167,82.69,43,6,4.27,IN,1686006501
274,livingstone,-17.8419,25.8543,64.26,36,0,4.81,ZM,1686006502
275,ta`u,-14.2336,-169.5144,81.68,74,57,15.97,AS,1686006502
276,chistopol',55.3631,50.6424,51.24,68,87,4.47,RU,1686006502
277,salalah,17.0151,54.0924,86.09,74,20,5.75,OM,1686006502
278,arkhangel'sk,64.5401,40.5433,41.09,97,91,5.14,RU,1686006502
279,rawlins,41.7911,-107.2387,62.49,51,40,3.44,US,1686006503
280,ponta delgada,37.7333,-25.6667,63.32,88,20,21.85,PT,1686006503
281,letlhakeng,-24.0944,25.0298,55.4,25,0,3.47,BW,1686006503
282,usogorsk,63.4106,48.6872,46.4,85,77,9.51,RU,1686006503
283,college,64.8569,-147.8028,71.92,28,40,4.61,US,1686006434
284,dondon,19.5333,-72.2333,76.39,85,48,5.32,HT,1686006503
285,kayangel,8.0823,134.7173,83.57,80,92,17.52,PW,1686006504
286,port elizabeth,-33.918,25.5701,53.87,72,100,5.39,ZA,1686006504
287,kargasok,59.0556,80.8572,69.44,65,39,5.93,RU,1686006504
288,padangsidempuan,1.3667,99.2667,71.28,98,100,1.54,ID,1686006504
289,las lomitas,-24.7096,-60.593,68.32,97,79,4.05,AR,1686006504
290,ma'rib,15.4591,45.3253,82.11,18,11,0.6,YE,1686006504
291,gaspe,48.8334,-64.4819,46.62,100,100,2.3,CA,1686006327
292,lupane,-18.9315,27.807,58.93,42,0,5.03,ZW,1686006505
293,kiunga,-6.1219,141.2906,78.21,92,90,0.74,PG,1686006505
294,choyr,46.3611,108.3611,57.58,45,22,8.39,MN,1686006505
295,visby,57.6409,18.296,55.62,71,1,13.8,SE,1686006505
296,middelburg,-25.7751,29.4648,55.54,43,0,3.53,ZA,1686006506
297,lido di ostia,41.7321,12.2765,69.28,3,72,4.81,IT,1686006506
298,okhotsk,59.3833,143.3,48.47,71,98,4.72,RU,1686006506
299,mancio lima,-7.6142,-72.8958,73.99,97,48,0.94,BR,1686006506
300,rikaze,29.25,88.8833,45.79,46,4,3.83,CN,1686006506
301,luderitz,-26.6481,15.1594,57.78,51,0,0.27,NA,1686006506
302,lewistown,40.5992,-77.5714,74.88,66,0,0.0,US,1686006484
303,minab,27.1467,57.0801,91.04,32,29,2.3,IR,1686006507
304,joshimath,30.5667,79.5667,57.42,72,72,6.4,IN,1686006507
305,saint-leu,-21.15,55.2833,74.23,87,4,1.9,RE,1686006507
306,saipan,15.1355,145.701,84.9,100,40,18.41,MP,1686006507
307,cockburn town,21.4612,-71.1419,83.77,78,5,3.85,TC,1686006508
308,galle,6.0367,80.217,80.13,86,100,13.98,LK,1686006508
309,papao,-17.75,-149.55,83.88,72,27,10.58,PF,1686006508
310,vilhena,-12.7406,-60.1458,71.82,66,16,3.18,BR,1686006508
311,palangkaraya,-2.2,113.8333,74.28,98,98,1.48,ID,1686006508
312,cabo san lucas,22.8909,-109.9124,92.5,37,0,12.66,MX,1686006499
313,tacuarembo,-31.7333,-55.9833,49.23,76,46,5.19,UY,1686006509
314,navlya,52.8281,34.4989,51.94,71,77,3.18,RU,1686006509
315,ust-nera,64.5667,143.2,59.58,36,53,4.21,RU,1686006509
316,oranjemund,-28.55,16.4333,55.78,74,32,4.45,NA,1686006509
317,dawei,14.0833,98.2,78.75,88,100,6.38,MM,1686006510
318,utrik,11.2278,169.8474,81.1,80,97,20.36,MH,1686006510
319,novobureyskiy,49.798,129.8774,60.31,76,100,8.88,RU,1686006510
320,pacific grove,36.6177,-121.9166,62.65,80,100,15.01,US,1686006510
321,bikenibeu village,1.3673,173.1241,87.76,74,20,8.05,KI,1686006510
322,kudahuvadhoo,2.6708,72.8944,82.49,78,96,10.78,MV,1686006511
323,ciudad melchor muzquiz,27.8833,-101.5167,86.79,41,48,12.48,MX,1686006511
324,blenheim,-41.516,173.9528,54.18,80,29,16.24,NZ,1686006511
325,ulladulla,-35.35,150.4667,56.95,74,98,5.01,AU,1686006511
326,mpongwe,-13.5091,28.155,58.28,49,0,5.46,ZM,1686006511
327,puerto baquerizo moreno,-0.9,-89.6,78.87,82,91,11.07,EC,1686006511
328,ryotsu-minato,38.0833,138.4333,68.54,68,58,8.19,JP,1686006512
329,tres arroyos,-38.3739,-60.2798,50.13,48,97,17.07,AR,1686006512
330,palopo,-2.9996,120.1921,77.52,87,96,2.08,ID,1686006512
331,moranbah,-22.0016,148.0466,66.49,80,54,19.24,AU,1686006512
332,port lincoln,-34.7333,135.8667,59.41,66,0,15.97,AU,1686006512
333,bambari,5.768,20.6757,70.84,95,93,4.72,CF,1686006513
334,oosterwolde,52.989,6.2908,52.16,58,0,1.99,NL,1686006513
335,kangding,30.0513,101.9603,53.94,95,100,2.95,CN,1686006513
336,slave lake,55.2834,-114.769,53.58,94,100,13.8,CA,1686006513
337,alaghsas,17.0187,8.0168,92.61,13,27,9.98,NE,1686006513
338,serhetabat,35.2799,62.3438,72.52,22,8,1.41,TM,1686006514
